ENDPOINT,QUERY,TIME
http://localhost:8080/parliament/sparql,boundary.sparql,841
http://localhost:8080/strabon/Query,boundary.sparql,31
http://localhost:8080/marmotta/sparql/select,boundary.sparql,47
http://localhost:8080/parliament/sparql,buffer.sparql,267
http://localhost:8080/strabon/Query,buffer.sparql,31
http://localhost:8080/marmotta/sparql/select,buffer.sparql,16
http://localhost:8080/parliament/sparql,convexHull.sparql,31
http://localhost:8080/strabon/Query,convexHull.sparql,31
http://localhost:8080/marmotta/sparql/select,convexHull.sparql,16
http://localhost:8080/parliament/sparql,difference.sparql,187
http://localhost:8080/strabon/Query,difference.sparql,117
http://localhost:8080/marmotta/sparql/select,difference.sparql,151
http://localhost:8080/parliament/sparql,distance.sparql,39
http://localhost:8080/strabon/Query,distance.sparql,17
http://localhost:8080/marmotta/sparql/select,distance.sparql,43
http://localhost:8080/parliament/sparql,envelope.sparql,33
http://localhost:8080/strabon/Query,envelope.sparql,18
http://localhost:8080/marmotta/sparql/select,envelope.sparql,20
http://localhost:8080/parliament/sparql,getSRID.sparql,10
http://localhost:8080/strabon/Query,getSRID.sparql,29
http://localhost:8080/marmotta/sparql/select,getSRID.sparql,20
http://localhost:8080/parliament/sparql,intersection.sparql,47
http://localhost:8080/strabon/Query,intersection.sparql,31
http://localhost:8080/marmotta/sparql/select,intersection.sparql,41
http://localhost:8080/parliament/sparql,relate.sparql,569
http://localhost:8080/strabon/Query,relate.sparql,0
http://localhost:8080/marmotta/sparql/select,relate.sparql,203
http://localhost:8080/parliament/sparql,symDifference.sparql,47
http://localhost:8080/strabon/Query,symDifference.sparql,40
http://localhost:8080/marmotta/sparql/select,symDifference.sparql,24
http://localhost:8080/parliament/sparql,union.sparql,94
http://localhost:8080/strabon/Query,union.sparql,31
http://localhost:8080/marmotta/sparql/select,union.sparql,62
